B1_6_months	k141_11970
B1_6_months	k141_11987_phage171_86355_120697_42_0.74
B1_6_months	k141_13615
B1_6_months	k141_14552_phage68_4456_17370_14_0.54
B1_6_months	k141_15171_phage137_3_14367_19_0.78
B1_6_months	k141_1580
B1_6_months	k141_15974
B1_6_months	k141_17860_phage197_58439_81251_35_0.77
B1_6_months	k141_18979
B1_6_months	k141_19027_phage276_23624_51078_32_0.62
B1_6_months	k141_19285
B1_6_months	k141_1949_phage208_103_15778_14_0.61
B1_6_months	k141_19721
B1_6_months	k141_19998
B1_6_months	k141_20425_phage117_504_14066_11_0.83
B1_6_months	k141_20425_phage118_14397_38132_50_0.8
B1_6_months	k141_21719_phage230_2_10051_16_0.86
B1_6_months	k141_22622_phage65_19063_31612_11_0.55
B1_6_months	k141_23339
B1_6_months	k141_23448
B1_6_months	k141_23667_1_checkv_155211-200248/225330
B1_6_months	k141_2400
B1_6_months	k141_24128
B1_6_months	k141_2516_phage272_201023_221544_32_0.75
B1_6_months	k141_26340
B1_6_months	k141_27344_1_checkv_5443-37435/37435
B1_6_months	k141_28566_phage130_3003_21785_23_0.56
B1_6_months	k141_30133_phage265_1_10927_12_0.81
B1_6_months	k141_30228
B1_6_months	k141_30303_phage0_1_15226_17_0.78
B1_6_months	k141_30945_phage44_4527_22491_13_0.53
B1_6_months	k141_31064_1_checkv_135200-184364/184364
B1_6_months	k141_31190_phage95_12006_26556_26_0.76
B1_6_months	k141_31740_phage146_17911_45831_33_0.63
B1_6_months	k141_32001_phage192_155734_173990_20_0.62
B1_6_months	k141_33341
B1_6_months	k141_33836_phage119_8644_23347_18_0.55
B1_6_months	k141_34373_phage188_63128_75541_10_0.56
B1_6_months	k141_35867
B1_6_months	k141_36275
B1_6_months	k141_36494_phage102_139111_155655_16_0.77
B1_6_months	k141_36603_phage121_119_33802_49_0.81
B1_6_months	k141_36901_phage181_40379_51458_21_0.61
B1_6_months	k141_38075_phage274_11608_26097_15_0.81
B1_6_months	k141_38470
B1_6_months	k141_38785_phage54_8890_22237_11_0.74
B1_6_months	k141_39395_phage123_3343_27612_18_0.6
B1_6_months	k141_39529_phage138_2_18675_20_0.85
B1_6_months	k141_39540_phage142_2_19489_25_0.85
B1_6_months	k141_39726_phage157_2_10908_14_0.72
B1_6_months	k141_39742
B1_6_months	k141_4032
B1_6_months	k141_41534_phage40_57_11350_15_0.66
B1_6_months	k141_41895_phage92_4175_34475_33_0.66
